,Full Name,Born,Age,Batting Style,Bowling Style,id,Playing Role,Fielding Position,Died,Also Known As,Education,Other,Nicknames,Height
0,Akshaykumar Palakdhari Yadav,"January 20, 1999",24y 259d,Right hand Bat,Right arm Offbreak,1387421,,,,,,,,
0,Aaliyah Alicia Alleyne,"November 11, 1994",28y 329d,Right hand Bat,Right arm Medium,661441,Bowler,,,,,,,
0,Hettiarachige Mahes Goonatilleke,"August 16, 1952, Kegalle",71y 51d,Right hand Bat,,49097,,Wicketkeeper,,,,,,
0,Arun Bamal,"June 02, 1997, Bhiwani, Haryana",26y 126d,Left hand Bat,Slow Left arm Orthodox,1123075,Bowling Allrounder,,,,,,,
0,Avi Arunbhai Barot,"June 25, 1992, Ahmedabad, Gujarat",,Right hand Bat,Right arm Offbreak,398519,,Wicketkeeper,"October 15, 2021 (aged 29y 112d)",,,,,
0,Gogumal Kishenchand Harisinghani,"April 14, 1925, Karachi, Sind",,Right hand Bat,Legbreak,30117,,,"April 16, 1997, Baroda, Gujarat, (aged 72y 2d)",,,,,
0,Abhijit Ajit Chakraborty,"March 13, 1991, Jogendranagar, Tripura",32y 207d,Right hand Bat,Slow Left arm Orthodox,680363,,,,,,,,
0,Charles John Coventry,"February 26, 1867, Marylebone, London",,Right hand Bat,,10836,,,"June 02, 1929, Earl's Croome, Worcestershire, (aged 62y 96d)",The Hon.  Col. Charles John Coventry CB,Eton College,,,
0,Ankeet Anil Chavan,"October 28, 1985, Bombay (now Mumbai), Maharashtra",37y 343d,Left hand Bat,Slow Left arm Orthodox,337913,Batter,,,,,,,
0,Gallage Pramodya Wickramasinghe,"August 14, 1971, Matara",52y 53d,Right hand Bat,Right arm Fast medium,50848,Bowler,,,,,,,
0,Allan Anthony Donald,"October 20, 1966, Bloemfontein, Orange Free State",56y 351d,Right hand Bat,Right arm Fast,44716,Bowler,,,,,,,
0,Atharva Vinod Ankolekar,"September 26, 2000",23y 10d,Left hand Bat,Slow Left arm Orthodox,1175467,,,,,,,,
0,Aahan Gopinath Achar,"March 30, 1999",24y 190d,Left hand Bat,Slow Left arm Orthodox,1048889,Bowler,,,,,,,
0,Akhil Arvind Herwadkar,"October 31, 1994, Sangli, Maharashtra",28y 340d,Left hand Bat,Right arm Offbreak,532851,Opening Batter,,,,,,,
0,Abhishek Arunkumar Jhunjhunwala,"December 01, 1982, Calcutta (now Kolkata), Bengal",40y 309d,Right hand Bat,Right arm Offbreak,29702,Batter,,,,,,,
0,Christopher Mary Kuggeleijn,"May 10, 1956, Auckland",67y 149d,Right hand Bat,Right arm Offbreak,37532,,,,,,Coach,,
0,Gandhar Vikas Bhatawadekar,"July 08, 1993, Bombay (now Mumbai), Maharashtra",30y 90d,Right hand Bat,Right arm Offbreak,1170200,Middle order Batter,,,,,,,
0,Abrar Anjum Kazi,"September 29, 1989, Bangalore, Karnataka",34y 7d,Left hand Bat,Slow Left arm Orthodox,422106,Bowler,,,,,,,
0,Diwesh Gurdev Pathania,"June 22, 1989, Pathankot",34y 106d,Right hand Bat,Right arm Medium,723469,,,,,,,,
0,Arthur Alfred Mailey,"January 03, 1886, Zetland, Sydney, New South Wales",,Right hand Bat,Legbreak Googly,6465,,,"December 31, 1967, Kirrawee, Sydney, New South Wales, (aged 81y 362d)",,,,,
0,Ashley Alexander Mallett,"July 13, 1945, Chatswood, Sydney, New South Wales",,Right hand Bat,Right arm Offbreak,6472,Bowler,,"October 29, 2021, Adelaide, (aged 76y 108d)",Rowdy,,,,
0,George Hayward Thomas Simpson-Hayward,"June 07, 1875, Stoneleigh, Kenilworth, Warwickshire",,Right hand Bat,Right arm Offbreak,20197,,,"October 02, 1936, Icomb Place, Gloucestershire, (aged 61y 117d)",changed name from George Hayward Thomas Simpson in 1898,Malvern College; Cambridge University,,,
0,Bhagwath Subramanya Chandrasekhar,"May 17, 1945, Mysore, Karnataka",78y 142d,Right hand Bat,Legbreak,27591,Bowler,,,,,,,
0,Aamer Nazir,"January 02, 1971, Lahore, Punjab",52y 277d,Right hand Bat,Right arm Fast medium,38966,,,,,,,,
0,Mohammad Aamer Sohail Ali,"September 14, 1966, Lahore, Punjab",57y 22d,Left hand Bat,Slow Left arm Orthodox,38967,Batter,,,,,Commentator,,
0,Aamer Yamin,"June 26, 1990, Multan, Punjab",33y 102d,Right hand Bat,Right arm Medium,434429,Allrounder,,,,,,,
0,Christopher Eric Wilfred Silverwood,"March 05, 1975, Pontefract, Yorkshire",48y 215d,Right hand Bat,Right arm Fast medium,20193,,,,,Garforth Comprehensive,,"Spoons, Silvers, Chubby",6ft 1in
0,Aamir Abdul Gani,"August 27, 1996, Banaras, Uttar Pradesh",27y 40d,Right hand Bat,Right arm Offbreak,642543,,,,,,,,
0,Edelyn Glendeen Turtin,"September 16, 1995",28y 20d,Right hand Bat,Right arm Offbreak,661791,,Wicketkeeper,,,,,,
0,Hugh Richard Bromley-Davenport,"August 18, 1870, Capesthorne Hall, Chelford, Cheshire",,Right hand Bat,Left arm Fast,9237,,,"May 23, 1954, South Kensington, London, (aged 83y 278d)",,Eton College; Cambridge University,,,
0,Syed Aamir Kaleem,"November 20, 1981, Karachi, Sind, Pakistan",41y 320d,Left hand Bat,Slow Left arm Orthodox,455463,Middle order Batter,,,,,,,
0,Hardik Jitendra Tamore,"October 20, 1997, Thane, Maharashtra",25y 351d,Right hand Bat,,1212583,,,,,,,,
0,Ajith Kosala Kuruppuarachchi,"November 01, 1964, Colombo",58y 339d,Right hand Bat,Left arm Fast medium,49366,,,,,,,,
0,Christopher Anthony Russell Duckworth,"March 22, 1933, Que Que (now Kwekwe), Rhodesia",,Right hand Bat,,44727,,Wicketkeeper,"May 16, 2014, Johannesburg, (aged 81y 55d)",,,,,
0,Mallireddy Ajay Kumar,"December 12, 1989, Thimmapuram, Andhra Pradesh",33y 298d,Right hand Bat,Right arm Medium,481047,,,,,,,,
0,Annica Andrew,"May 29, 1987, Giraudel",36y 130d,Left hand Bat,Left arm Medium,530131,,,,,,,,
0,Hendrik Erasmus van der Dussen,"February 07, 1989, Pretoria, Transvaal",34y 241d,Right hand Bat,Legbreak,337790,Top order Batter,,,,"Hoerskool, Menlopark",,,
0,Bharat Bhushan Sharma,"November 15, 1995",27y 325d,Right hand Bat,Right arm Offbreak,1273854,,,,,,,,
0,Alex Auma Obanda,"December 25, 1987, Nairobi, Kenya",35y 285d,Right hand Bat,Right arm Medium fast,291844,Opening Batter,,,,,,,
0,Akoijam Tenyson Singh,"January 30, 1991, Imphal, Manipur",32y 249d,Right hand Bat,Right arm Medium,1170228,,,,,,,,
0,Anuja Arun Patil,"June 28, 1992, Kolhapur",31y 100d,Right hand Bat,Right arm Offbreak,578451,Bowler,,,,,,,
0,Anguppulige Gamini Dayantha Wickremasinghe,"December 27, 1965, Colombo",57y 283d,Right hand Bat,Right arm Offbreak,50851,,Wicketkeeper,,,,,,
0,Angus Alexander Patrick Atkinson,"January 19, 1998, Chelsea, Middlesex",25y 260d,Right hand Bat,Right arm Fast medium,1039481,Bowler,,,,Bradfield College,,,6ft 2in
0,A Aravinddaraj,"June 09, 1996",27y 119d,Right hand Bat,Right arm Medium,1175501,,,,,,,,
0,Abhimanyusingh Vikramsingh Rajput,"May 09, 1998, Visarwadi, Navapur, Maharashtra",25y 150d,Right hand Bat,Right arm Medium fast,1201537,,,,,,,,
0,Aarif Sheikh,"October 04, 1997, Birgunj",26y 2d,Right hand Bat,Right arm Medium,701217,Top order Batter,,,,,,,
0,Aaron Paul Beard,"October 15, 1997, Chelmsford, Essex",25y 356d,Left hand Bat,Right arm Fast medium,894103,Bowler,,,,,,,
0,Aaron Jones,"October 19, 1994, Queens, New York",28y 352d,Right hand Bat,Legbreak Googly,957645,Top order Batter,,,,,,,
0,Anupam Amrutlal Sanklecha,"July 17, 1982, Ahmednagar, Maharashtra",41y 81d,Left hand Bat,Right arm Medium fast,35292,,,,,,,,
0,Harpreet Singh Bhatia,"August 11, 1991, Durg, Madhya Pradesh",32y 56d,Left hand Bat,Right arm Medium,340854,Batter,,,,,,,
0,Ammana Ashish Reddy,"February 24, 1991, Secunderabad",32y 224d,Right hand Bat,Right arm Medium,389605,Allrounder,,,,,,,
0,Arun Ashokan,"February 27, 1993, Coimbatore, Tamil Nadu",30y 221d,Right hand Bat,Right arm Medium,1156472,,,,,,,,
0,Abdul Mahathir Abdul Rahman,"July 21, 1999",24y 77d,Left hand Bat,Slow Left arm Orthodox,1325901,,,,,,,,
0,Christopher Heseltine,"November 26, 1869, South Kensington, London",,Right hand Bat,Right arm Fast,14171,,,"June 13, 1944, Walhampton, Lymington, Hampshire, (aged 74y 200d)",,,,,
0,George Finlay Bissett,"November 05, 1905, Kimberley, Cape Province",,Right hand Bat,Right arm Fast,44078,,,"November 14, 1965, Botha's Hill, Natal, (aged 60y 9d)",,,,,
0,Christopher Paul Schofield,"October 06, 1978, Wardle, Rochdale, Lancashire",45y ,Left hand Bat,Legbreak,20073,Bowling Allrounder,,,,Wardle High School,,"Scoey, Junior, Scoffer",6ft 1in
0,Colombage Don Udesh Sanjeewa Weerasinghe,"March 01, 1968, Colombo",55y 219d,Right hand Bat,Legbreak Googly,50838,,,,,,,,
0,Aron Bacher,"May 24, 1942, Johannesburg, Transvaal",81y 135d,Right hand Bat,Legbreak,44026,,Occasional Wicketkeeper,,,,,,
0,Charles Clarence Passailaigue,"August 04, 1901, Kingston, Jamaica",,Right hand Bat,,52799,,,"January 07, 1972, Montego Bay, St James, Jamaica, (aged 70y 156d)",,,,,
0,Ayush Badoni,"December 03, 1999, Delhi",23y 307d,Right hand Bat,Right arm Offbreak,1151270,Batter,,,,,,,
0,Chandrasekhar Vaman Gadkari,"February 03, 1928, Poona (now Pune), Maharashtra",,Right hand Bat,Right arm Medium,28751,,,"January 11, 1998, Pune, Maharashtra, (aged 69y 342d)",,,,,
0,Chandrasekhar Trimbak Sarwate,"July 22, 1920, Sagor, Madhya Pradesh",,Right hand Bat,"Right arm Offbreak, Legbreak",33859,,,"December 23, 2003, Indore, (aged 83y 154d)",,,,,
0,Ajit Bhalchandra Agarkar,"December 04, 1977, Bombay (now Mumbai), Maharashtra",45y 306d,Right hand Bat,Right arm Fast,26184,Bowler,,,,,,,
0,Chandrakant Trimbak Patankar,"November 24, 1930, Pen, Maharashtra",92y 316d,Right hand Bat,,32220,,Wicketkeeper,,,,,,
0,Andrew Balbirnie,"December 28, 1990, Dublin, Ireland",32y 282d,Right hand Bat,Right arm Offbreak,303423,Batter,Occasional Wicketkeeper,,,"St Andrew's College, Dublin",,,
0,Doddanarasiah Ganesh,"June 30, 1973, Bangalore, Karnataka",50y 98d,Right hand Bat,Right arm Medium,28774,,,,,,,,
0,Adrian Boris Barath,"April 14, 1990, Chaguanas, Trinidad",33y 175d,Right hand Bat,Right arm Offbreak,274926,Opening Batter,,,,,,,
0,Abbas Ali Baig,"March 19, 1939, Hyderabad, Andhra Pradesh",84y 201d,Right hand Bat,Legbreak,26817,,,,,,,,
0,Christopher Timothy Tremlett,"September 02, 1981, Southampton, Hampshire",42y 34d,Right hand Bat,Right arm Medium fast,21650,Bowler,,,,"Taunton's College, Southampton",,Twiggy,6ft 7in
0,Anunay Narayan Singh,"January 03, 1993, Vaishali, Bihar",30y 276d,Right hand Bat,,1159816,Bowler,,,,,,,
0,Grayson Cleophas Shillingford,"September 25, 1944, Macoucherie, Dublanc, Dominica",,Left hand Bat,Right arm Fast medium,52930,,,"December 23, 2009, Salisbury, Dominica, (aged 65y 89d)",,,,,
0,Ashok Bhimchandra Dinda,"March 25, 1984, Medinipur, Calcutta (now Kolkata)",39y 195d,Right hand Bat,Right arm Medium fast,227712,Bowler,,,,,,,
0,Confidence Tinotenda Mutombodzi,"December 21, 1990, Harare",32y 289d,Right hand Bat,Legbreak Googly,333001,Allrounder,,,,,,,
0,Everton Zvikomborero Matambanadzo,"April 13, 1976, Salisbury (now Harare)",47y 176d,Right hand Bat,Right arm Medium fast,55582,,,,,,,,
0,Abdul Halim,"November 02, 1998",24y 338d,Right hand Bat,Right arm Medium,804055,,,,,,,,
0,Commandur Rajagopalachari Rangachari,"April 14, 1916, Mamandur, Madras",,Right hand Bat,Right arm Fast,33088,,,"October 09, 1993, Madras (now Chennai), Tamil Nadu, (aged 77y 178d)",,,,,
0,Harmeet Singh Bansal,"October 09, 1987, Jodhpur, Rajasthan",35y 362d,Right hand Bat,Right arm Medium,391128,Bowler,,,,,,,
0,Ganeshan Periyaswamy,"March 05, 1994",29y 215d,Right hand Bat,Right arm Medium,1194932,Bowler,,,,,,,
