Company Name,Industry,Symbol,yf_symbol,Series,ISIN Code
Adani Enterprises Ltd.,Metals & Mining,ADANIENT,ADANIENT.NS,EQ,INE423A01024
Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,ADANIPORTS.NS,EQ,INE742F01042
Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP,APOLLOHOSP.NS,EQ,INE437A01024
Asian Paints Ltd.,Consumer Durables,ASIANPAINT,ASIANPAINT.NS,EQ,INE021A01026
Axis Bank Ltd.,Financial Services,AXISBANK,AXISBANK.NS,EQ,INE238A01034
Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO,BAJAJ-AUTO.NS,EQ,INE917I01010
Bajaj Finance Ltd.,Financial Services,BAJFINANCE,BAJFINANCE.NS,EQ,INE296A01024
Bajaj Finserv Ltd.,Financial Services,BAJAJFINSV,BAJAJFINSV.NS,EQ,INE918I01026
Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,BPCL,BPCL.NS,EQ,INE029A01011
Bharti Airtel Ltd.,Telecommunication,BHARTIARTL,BHARTIARTL.NS,EQ,INE397D01024
Britannia Industries Ltd.,Fast Moving Consumer Goods,BRITANNIA,BRITANNIA.NS,EQ,INE216A01030
Cipla Ltd.,Healthcare,CIPLA,CIPLA.NS,EQ,INE059A01026
Coal India Ltd.,Oil Gas & Consumable Fuels,COALINDIA,COALINDIA.NS,EQ,INE522F01014
Divi's Laboratories Ltd.,Healthcare,DIVISLAB,DIVISLAB.NS,EQ,INE361B01024
Dr. Reddy's Laboratories Ltd.,Healthcare,DRREDDY,DRREDDY.NS,EQ,INE089A01023
Eicher Motors Ltd.,Automobile and Auto Components,EICHERMOT,EICHERMOT.NS,EQ,INE066A01021
Grasim Industries Ltd.,Construction Materials,GRASIM,GRASIM.NS,EQ,INE047A01021
HCL Technologies Ltd.,Information Technology,HCLTECH,HCLTECH.NS,EQ,INE860A01027
HDFC Bank Ltd.,Financial Services,HDFCBANK,HDFCBANK.NS,EQ,INE040A01034
HDFC Life Insurance Company Ltd.,Financial Services,HDFCLIFE,HDFCLIFE.NS,EQ,INE795G01014
Hero MotoCorp Ltd.,Automobile and Auto Components,HEROMOTOCO,HEROMOTOCO.NS,EQ,INE158A01026
Hindalco Industries Ltd.,Metals & Mining,HINDALCO,HINDALCO.NS,EQ,INE038A01020
Hindustan Unilever Ltd.,Fast Moving Consumer Goods,HINDUNILVR,HINDUNILVR.NS,EQ,INE030A01027
ICICI Bank Ltd.,Financial Services,ICICIBANK,ICICIBANK.NS,EQ,INE090A01021
ITC Ltd.,Fast Moving Consumer Goods,ITC,ITC.NS,EQ,INE154A01025
IndusInd Bank Ltd.,Financial Services,INDUSINDBK,INDUSINDBK.NS,EQ,INE095A01012
Infosys Ltd.,Information Technology,INFY,INFY.NS,EQ,INE009A01021
JSW Steel Ltd.,Metals & Mining,JSWSTEEL,JSWSTEEL.NS,EQ,INE019A01038
Kotak Mahindra Bank Ltd.,Financial Services,KOTAKBANK,KOTAKBANK.NS,EQ,INE237A01028
LTIMindtree Ltd.,Information Technology,LTIM,LTIM.NS,EQ,INE214T01019
Larsen & Toubro Ltd.,Construction,LT,LT.NS,EQ,INE018A01030
Mahindra & Mahindra Ltd.,Automobile and Auto Components,M&M,M&M.NS,EQ,INE101A01026
Maruti Suzuki India Ltd.,Automobile and Auto Components,MARUTI,MARUTI.NS,EQ,INE585B01010
NTPC Ltd.,Power,NTPC,NTPC.NS,EQ,INE733E01010
Nestle India Ltd.,Fast Moving Consumer Goods,NESTLEIND,NESTLEIND.NS,EQ,INE239A01016
Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,ONGC,ONGC.NS,EQ,INE213A01029
Power Grid Corporation of India Ltd.,Power,POWERGRID,POWERGRID.NS,EQ,INE752E01010
Reliance Industries Ltd.,Oil Gas & Consumable Fuels,RELIANCE,RELIANCE.NS,EQ,INE002A01018
SBI Life Insurance Company Ltd.,Financial Services,SBILIFE,SBILIFE.NS,EQ,INE123W01016
State Bank of India,Financial Services,SBIN,SBIN.NS,EQ,INE062A01020
Sun Pharmaceutical Industries Ltd.,Healthcare,SUNPHARMA,SUNPHARMA.NS,EQ,INE044A01036
Tata Consultancy Services Ltd.,Information Technology,TCS,TCS.NS,EQ,INE467B01029
Tata Consumer Products Ltd.,Fast Moving Consumer Goods,TATACONSUM,TATACONSUM.NS,EQ,INE192A01025
Tata Motors Ltd.,Automobile and Auto Components,TATAMOTORS,TATAMOTORS.NS,EQ,INE155A01022
Tata Steel Ltd.,Metals & Mining,TATASTEEL,TATASTEEL.NS,EQ,INE081A01020
Tech Mahindra Ltd.,Information Technology,TECHM,TECHM.NS,EQ,INE669C01036
Titan Company Ltd.,Consumer Durables,TITAN,TITAN.NS,EQ,INE280A01028
UPL Ltd.,Chemicals,UPL,UPL.NS,EQ,INE628A01036
UltraTech Cement Ltd.,Construction Materials,ULTRACEMCO,ULTRACEMCO.NS,EQ,INE481G01011
Wipro Ltd.,Information Technology,WIPRO,WIPRO.NS,EQ,INE075A01022
